sdmx-dimension:refPeriod,dcat:measure_1_value,dcat-dimension:thing,sdmx-attribute:refArea,sdmx-attribute:unitMeasure
2012-07-15,0.1470588235,Wheat flour - Retail,South Sudan - Rumbek,$/kg
2012-08-15,0.1470588235,Wheat flour - Retail,South Sudan - Rumbek,$/kg
2012-10-15,0.294117647,Wheat flour - Retail,South Sudan - Rumbek,$/kg
2012-11-15,0.28676470582499997,Wheat flour - Retail,South Sudan - Rumbek,$/kg
2012-12-15,0.22058823525,Wheat flour - Retail,South Sudan - Rumbek,$/kg
2013-01-15,0.22058823525,Wheat flour - Retail,South Sudan - Rumbek,$/kg
2013-02-15,0.22058823525,Wheat flour - Retail,South Sudan - Rumbek,$/kg
2013-03-15,0.294117647,Wheat flour - Retail,South Sudan - Rumbek,$/kg
2015-12-15,0.345588235225,Wheat flour - Retail,South Sudan - Rumbek,$/kg
2016-01-15,0.3529411764,Wheat flour - Retail,South Sudan - Rumbek,$/kg
2016-05-15,0.588235294,Wheat flour - Retail,South Sudan - Rumbek,$/kg
2016-09-15,1.470588235,Wheat flour - Retail,South Sudan - Rumbek,$/kg
2016-10-15,1.470588235,Wheat flour - Retail,South Sudan - Rumbek,$/kg
2016-11-15,1.6176470585,Wheat flour - Retail,South Sudan - Rumbek,$/kg
2016-12-15,1.6176470585,Wheat flour - Retail,South Sudan - Rumbek,$/kg
2017-01-15,1.764705882,Wheat flour - Retail,South Sudan - Rumbek,$/kg
2017-02-15,1.764705882,Wheat flour - Retail,South Sudan - Rumbek,$/kg
2017-03-15,1.764705882,Wheat flour - Retail,South Sudan - Rumbek,$/kg
2017-04-15,3.6764705875,Wheat flour - Retail,South Sudan - Rumbek,$/kg
2017-06-15,4.9705882343,Wheat flour - Retail,South Sudan - Rumbek,$/kg
2017-07-15,4.9705882343,Wheat flour - Retail,South Sudan - Rumbek,$/kg
2017-10-15,4.4117647049999995,Wheat flour - Retail,South Sudan - Rumbek,$/kg
2018-01-15,2.94117647,Wheat flour - Retail,South Sudan - Rumbek,$/kg
2018-03-15,3.9999999992,Wheat flour - Retail,South Sudan - Rumbek,$/kg
2018-04-15,3.9705882344999996,Wheat flour - Retail,South Sudan - Rumbek,$/kg
2018-08-15,4.514705881449999,Wheat flour - Retail,South Sudan - Rumbek,$/kg
2018-09-15,4.92647058725,Wheat flour - Retail,South Sudan - Rumbek,$/kg
2018-10-15,5.80882352825,Wheat flour - Retail,South Sudan - Rumbek,$/kg
2018-12-15,1.764705882,Wheat flour - Retail,South Sudan - Rumbek,$/kg
2019-03-15,4.117647058,Wheat flour - Retail,South Sudan - Rumbek,$/kg
2019-03-15,1.6176470584999998,Maize (white) - Wholesale,South Sudan - Rumbek,$/kg
2009-10-15,0.02521008402857142,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2009-11-15,0.02626050419642856,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2009-12-15,0.03361344537142856,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2010-01-15,0.03361344537142856,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2010-02-15,0.03361344537142856,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2010-04-15,0.06512605040714284,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2010-06-15,0.06512605040714284,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2010-07-15,0.03361344537142856,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2010-09-15,0.03571428570714284,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2010-10-15,0.03781512604285713,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2010-11-15,0.042016806714285704,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2010-12-15,0.042016806714285704,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2011-01-15,0.042016806714285704,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2011-02-15,0.040441176462499985,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2011-03-15,0.03921554621064427,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2011-04-15,0.042016806714285704,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2011-05-15,0.044117647049999986,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2011-06-15,0.08823529409999997,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2011-07-15,0.05462184872857141,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2011-08-15,0.04621848738571427,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2011-10-15,0.056722689064285695,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2011-11-15,0.059873949567857125,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2011-12-15,0.07563025208571426,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2012-01-15,0.08403361342857141,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2012-02-15,0.08403361342857141,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2012-03-15,0.09243697477142854,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2012-04-15,0.08193277309285711,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2012-05-15,0.15231092433928567,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2012-07-15,0.05462184872857141,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2012-08-15,0.044117647049999986,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2012-10-15,0.06302521007142856,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2012-11-15,0.09663865544285712,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2012-12-15,0.1039915966178571,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2013-01-15,0.08403361342857141,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2013-02-15,0.10588235291999996,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2013-03-15,0.08403361342857141,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2013-04-15,0.10084033611428568,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2013-05-15,0.10084033611428568,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2013-06-15,0.10924369745714282,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2013-07-15,0.09243697477142854,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2013-08-15,0.10084033611428568,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2013-09-15,0.0987394957785714,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2013-10-15,0.07983193275714283,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2013-11-15,0.08193277309285711,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2013-12-15,0.10924369745714282,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2014-08-15,0.08403361342857141,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2014-09-15,0.07563025208571426,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2014-10-15,0.07773109242142855,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2014-11-15,0.1260504201428571,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2014-12-15,0.07058823527999998,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2015-01-15,0.07058823527999998,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2015-04-15,0.10504201678571425,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2015-10-15,0.10420168065142854,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2015-12-15,0.17226890752857138,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2016-01-15,0.09663865544285712,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2016-02-15,0.15966386551428566,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2016-03-15,0.27310924364285705,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2016-04-15,0.16386554618571422,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2016-05-15,0.16176470584999994,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2016-06-15,0.2100840335714285,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2016-07-15,0.08403361342857141,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2016-08-15,0.22584033608928564,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2016-09-15,0.5462184872857141,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2016-10-15,0.5882352939999999,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2016-11-15,1.0504201678571425,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2016-12-15,1.0504201678571425,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2017-01-15,1.1764705879999997,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2017-02-15,1.1764705879999997,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2017-03-15,1.1764705879999997,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2017-04-15,1.5756302517857137,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2017-06-15,1.525210083728571,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2017-07-15,1.525210083728571,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2017-10-15,1.680672268571428,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2018-01-15,1.3235294114999996,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2018-03-15,2.6050420162857133,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2018-04-15,2.5756302515857135,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2018-08-15,1.8907563021428566,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2018-09-15,1.8907563021428566,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2018-10-15,2.100840335714285,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2018-12-15,2.4495798314428563,Maize (white) - Retail,South Sudan - Rumbek,$/kg
2016-07-15,0.10504201678571425,Cassava - Retail,South Sudan - Rumbek,$/kg
2016-08-15,0.14705882349999996,Cassava - Retail,South Sudan - Rumbek,$/kg
2018-01-15,1.3445378148571425,Cassava - Retail,South Sudan - Rumbek,$/kg
2018-03-15,2.4369747894285707,Cassava - Retail,South Sudan - Rumbek,$/kg
2018-04-15,2.4159663860714278,Cassava - Retail,South Sudan - Rumbek,$/kg
2009-10-15,0.0588235294,Beans (red) - Retail,South Sudan - Rumbek,$/kg
2009-11-15,0.0588235294,Beans (red) - Retail,South Sudan - Rumbek,$/kg
2009-12-15,0.066176470575,Beans (red) - Retail,South Sudan - Rumbek,$/kg
2010-01-15,0.0588235294,Beans (red) - Retail,South Sudan - Rumbek,$/kg
2010-02-15,0.0588235294,Beans (red) - Retail,South Sudan - Rumbek,$/kg
2010-04-15,0.0624999999875,Beans (red) - Retail,South Sudan - Rumbek,$/kg
2010-06-15,0.066176470575,Beans (red) - Retail,South Sudan - Rumbek,$/kg
2010-07-15,0.07352941175,Beans (red) - Retail,South Sudan - Rumbek,$/kg
2010-09-15,0.0882352941,Beans (red) - Retail,South Sudan - Rumbek,$/kg
2010-10-15,0.080882352925,Beans (red) - Retail,South Sudan - Rumbek,$/kg
2010-11-15,0.07352941175,Beans (red) - Retail,South Sudan - Rumbek,$/kg
2010-12-15,0.07843088233725501,Beans (red) - Retail,South Sudan - Rumbek,$/kg
2011-01-15,0.07352941175,Beans (red) - Retail,South Sudan - Rumbek,$/kg
2011-02-15,0.06801470586875,Beans (red) - Retail,South Sudan - Rumbek,$/kg
2011-04-15,0.07352941175,Beans (red) - Retail,South Sudan - Rumbek,$/kg
2011-05-15,0.07352941175,Beans (red) - Retail,South Sudan - Rumbek,$/kg
2011-07-15,0.1470588235,Beans (red) - Retail,South Sudan - Rumbek,$/kg
2011-08-15,0.1470588235,Beans (red) - Retail,South Sudan - Rumbek,$/kg
2011-10-15,0.15992647055625,Beans (red) - Retail,South Sudan - Rumbek,$/kg
2011-11-15,0.1470588235,Beans (red) - Retail,South Sudan - Rumbek,$/kg
2011-12-15,0.1470588235,Beans (red) - Retail,South Sudan - Rumbek,$/kg
2012-01-15,0.139705882325,Beans (red) - Retail,South Sudan - Rumbek,$/kg
2012-02-15,0.1470588235,Beans (red) - Retail,South Sudan - Rumbek,$/kg
2012-07-15,0.1470588235,Beans (red) - Retail,South Sudan - Rumbek,$/kg
2012-08-15,0.1470588235,Beans (red) - Retail,South Sudan - Rumbek,$/kg
2012-11-15,0.1470588235,Beans (red) - Retail,South Sudan - Rumbek,$/kg
2012-12-15,0.1470588235,Beans (red) - Retail,South Sudan - Rumbek,$/kg
2013-01-15,0.1470588235,Beans (red) - Retail,South Sudan - Rumbek,$/kg
2013-02-15,0.1470588235,Beans (red) - Retail,South Sudan - Rumbek,$/kg
2013-03-15,0.1176470588,Beans (red) - Retail,South Sudan - Rumbek,$/kg
2013-04-15,0.1470588235,Beans (red) - Retail,South Sudan - Rumbek,$/kg
2013-05-15,0.1470588235,Beans (red) - Retail,South Sudan - Rumbek,$/kg
2013-06-15,0.1470588235,Beans (red) - Retail,South Sudan - Rumbek,$/kg
2013-07-15,0.13235294115,Beans (red) - Retail,South Sudan - Rumbek,$/kg
2013-08-15,0.1470588235,Beans (red) - Retail,South Sudan - Rumbek,$/kg
2013-09-15,0.1470588235,Beans (red) - Retail,South Sudan - Rumbek,$/kg
2013-10-15,0.1727941176125,Beans (red) - Retail,South Sudan - Rumbek,$/kg
2013-11-15,0.1470588235,Beans (red) - Retail,South Sudan - Rumbek,$/kg
2013-12-15,0.1470588235,Beans (red) - Retail,South Sudan - Rumbek,$/kg
2014-08-15,0.16176470585,Beans (red) - Retail,South Sudan - Rumbek,$/kg
2014-09-15,0.1470588235,Beans (red) - Retail,South Sudan - Rumbek,$/kg
